20240411	14:38:31	ade77ca2-a8d3-4d1b-9cdb-6e2a7e41d1b1	/new-page.html	GET
20240411	14:38:31	e76235d8-58a4-466a-81f5-4bfdc6d6c8d0	/css/style.css	GET
20240411	14:38:31	943f1635-5a54-47d2-85e3-0c232c07a857	/img/myself%20portrait.jpg	GET
20240411	15:27:52	b9f3028c-4a0f-48b4-b8fc-12dbec05f786	/	GET
20240411	15:27:52	a683a894-5cdd-4fe5-99bc-7d33cae82060	/css/style.css	GET
20240411	15:27:54	f6c173e3-3ab3-4910-bfa9-396a3441f521	/	GET
20240411	15:27:54	187b158e-42f1-4a4c-bc8b-9feb0a8da75a	/css/style.css	GET
20240411	15:34:50	2d0b1b51-39e0-452c-b9af-6224637976a4	/new-page.html	GET
20240411	15:34:50	68aacb87-3230-4796-bb5b-5988a83d88ce	/css/style.css	GET
20240411	15:34:50	eb8cc2f8-623b-41d1-bc12-fa3640de49e9	/img/myself%20portrait.jpg	GET
20240411	15:44:33	e0fb84b1-7d93-40e5-bf66-38862dca9254	/old-page.html	GET
20240411	15:44:33	06d071d9-2097-4593-b909-d1ba37799dd6	/new-page.html	GET
20240411	15:44:33	073c8420-5ee8-4a15-a435-03ff3f2498c2	/css/style.css	GET
20240411	15:44:33	38098b66-8627-463c-85af-1ba981b9349c	/img/myself%20portrait.jpg	GET
20240411	16:25:10	0cca3b1d-7183-4c16-8d5d-80e042b989e3	/chain	GET
20240411	16:25:10	c69d8825-6856-497a-a7bf-ddf44c58fddf	/css/style.css	GET
20240411	16:25:40	d67ff478-b287-411d-848c-ddef48313061	/chain	GET
20240411	16:25:40	d192f13f-68bd-40ab-8400-1837d2b04e78	/css/style.css	GET
20240413	11:34:57	d2df716d-91f0-4f8b-82ca-4c1943617b50	GET	undefined	/
20240413	11:38:20	83d81fdd-7565-4b71-9549-2e1972fbfa29	GET	undefined	/
20240413	11:38:20	6a514a8c-9323-4485-84c4-26fb00ce1ee9	GET	undefined	/css/style.css
20240413	11:47:20	09137dbd-5e8f-46ae-8413-9a112a0514dd	GET	undefined	/subdir
20240413	11:48:49	bd0b1acc-3153-47e3-b1ca-849dbb3ee949	GET	undefined	/subdir/dave
20240413	11:48:49	5e032f7e-4af1-4983-b658-741a2929ab30	GET	undefined	/subdir/css/style.css
20240413	11:48:57	257bb801-2eac-4ed2-bf96-25a8da82b53b	GET	undefined	/subdir/test
20240413	11:51:32	c3d3a916-746d-4168-b4d3-5a3b295f2f88	GET	undefined	/subdir/test
20240413	11:51:36	8b8bcdb5-a00e-4392-8c9d-55f1615b9a70	GET	undefined	/
20240413	11:51:36	7ca8ad7e-3495-46f6-b9ed-cebeb1427788	GET	undefined	/
20240413	11:51:36	0a8ac286-6148-4e36-a0ad-86e3f87211d7	GET	undefined	/css/style.css
20240413	11:53:39	2573873f-8efe-4539-949f-6e4554f55b67	GET	undefined	/
20240413	11:55:56	ceb33831-e525-4228-a6e5-b7e289c87a9e	GET	undefined	/
20240413	11:55:57	6c95428a-1bf5-4457-b834-a1493b59afad	GET	undefined	/
20240413	11:56:08	3ceda9a3-dc66-45d2-8c7d-4e4ac058a579	GET	undefined	/
20240413	11:56:09	435fbf1b-214a-415a-9f4a-03f66baaabd3	GET	undefined	/
20240413	12:00:17	7fa1527d-62ab-4e70-9c13-5dc7f1e2ddf1	GET	undefined	/
